Currency,Unit,Buy,Sell
usd (U.S. Dollar),1,131.94,132.54
eur (European Euro),1,142.38,143.02
gbp (UK Pound Sterling),1,166.06,166.81
chf (Swiss Franc),1,148.90,149.58
aud (Australian Dollar),1,84.71,85.09
cad (Canadian Dollar),1,97.12,97.56
sgd (Singapore Dollar),1,97.28,97.73
jpy (Japanese Yen),10,9.03,9.07
cny (Chinese Yuan),1,18.10,18.18
sar (Saudi Arabian Riyal),1,35.17,35.33
qar (Qatari Riyal),1,36.20,36.36
thb (Thai Baht),1,3.76,3.77
aed (UAE Dirham),1,35.92,36.08
myr (Malaysian Ringgit),1,28.44,28.56
krw (South Korean Won),100,9.97,10.02
sek (Swedish Kroner),1,11.98,12.03
dkk (Danish Kroner),1,19.10,19.19
hkd (Hong Kong Dollar),1,16.82,16.90
kwd (Kuwaity Dinar),1,427.53,429.47
bhd (Bahrain Dinar),1,349.96,351.55
